key,value,date
Glob,-8,1900-01-01
Glob,-13,1901-01-01
Glob,-26,1902-01-01
Glob,-35,1903-01-01
Glob,-44,1904-01-01
Glob,-27,1905-01-01
Glob,-21,1906-01-01
Glob,-39,1907-01-01
Glob,-42,1908-01-01
Glob,-47,1909-01-01
Glob,-42,1910-01-01
Glob,-44,1911-01-01
Glob,-35,1912-01-01
Glob,-33,1913-01-01
Glob,-15,1914-01-01
Glob,-10,1915-01-01
Glob,-33,1916-01-01
Glob,-39,1917-01-01
Glob,-24,1918-01-01
Glob,-21,1919-01-01
Glob,-25,1920-01-01
Glob,-19,1921-01-01
Glob,-26,1922-01-01
Glob,-22,1923-01-01
Glob,-26,1924-01-01
Glob,-19,1925-01-01
Glob,-8,1926-01-01
Glob,-20,1927-01-01
Glob,-20,1928-01-01
Glob,-35,1929-01-01
Glob,-13,1930-01-01
Glob,-9,1931-01-01
Glob,-16,1932-01-01
Glob,-28,1933-01-01
Glob,-13,1934-01-01
Glob,-19,1935-01-01
Glob,-14,1936-01-01
Glob,-1,1937-01-01
Glob,-2,1938-01-01
Glob,-3,1939-01-01
Glob,8,1940-01-01
Glob,13,1941-01-01
Glob,10,1942-01-01
Glob,14,1943-01-01
Glob,26,1944-01-01
Glob,13,1945-01-01
Glob,-3,1946-01-01
Glob,-3,1947-01-01
Glob,-9,1948-01-01
Glob,-9,1949-01-01
Glob,-18,1950-01-01
Glob,-7,1951-01-01
Glob,1,1952-01-01
Glob,8,1953-01-01
Glob,-12,1954-01-01
Glob,-14,1955-01-01
Glob,-20,1956-01-01
Glob,3,1957-01-01
Glob,6,1958-01-01
Glob,3,1959-01-01
Glob,-3,1960-01-01
Glob,5,1961-01-01
Glob,3,1962-01-01
Glob,6,1963-01-01
Glob,-20,1964-01-01
Glob,-10,1965-01-01
Glob,-5,1966-01-01
Glob,-2,1967-01-01
Glob,-7,1968-01-01
Glob,6,1969-01-01
Glob,3,1970-01-01
Glob,-9,1971-01-01
Glob,1,1972-01-01
Glob,15,1973-01-01
Glob,-8,1974-01-01
Glob,-1,1975-01-01
Glob,-11,1976-01-01
Glob,18,1977-01-01
Glob,7,1978-01-01
Glob,17,1979-01-01
Glob,28,1980-01-01
Glob,33,1981-01-01
Glob,13,1982-01-01
Glob,31,1983-01-01
Glob,16,1984-01-01
Glob,12,1985-01-01
Glob,19,1986-01-01
Glob,34,1987-01-01
Glob,40,1988-01-01
Glob,29,1989-01-01
Glob,44,1990-01-01
Glob,42,1991-01-01
Glob,23,1992-01-01
Glob,24,1993-01-01
Glob,32,1994-01-01
Glob,46,1995-01-01
Glob,35,1996-01-01
Glob,48,1997-01-01
Glob,63,1998-01-01
Glob,42,1999-01-01
Glob,42,2000-01-01
Glob,55,2001-01-01
Glob,63,2002-01-01
Glob,62,2003-01-01
Glob,55,2004-01-01
Glob,69,2005-01-01
Glob,64,2006-01-01
Glob,66,2007-01-01
Glob,54,2008-01-01
Glob,65,2009-01-01
Glob,71,2010-01-01
Glob,60,2011-01-01
Glob,63,2012-01-01
Glob,66,2013-01-01
Glob,75,2014-01-01
NHem,-3,1900-01-01
NHem,-8,1901-01-01
NHem,-29,1902-01-01
NHem,-35,1903-01-01
NHem,-45,1904-01-01
NHem,-28,1905-01-01
NHem,-20,1906-01-01
NHem,-46,1907-01-01
NHem,-45,1908-01-01
NHem,-48,1909-01-01
NHem,-43,1910-01-01
NHem,-41,1911-01-01
NHem,-47,1912-01-01
NHem,-42,1913-01-01
NHem,-18,1914-01-01
NHem,-9,1915-01-01
NHem,-35,1916-01-01
NHem,-52,1917-01-01
NHem,-32,1918-01-01
NHem,-32,1919-01-01
NHem,-26,1920-01-01
NHem,-8,1921-01-01
NHem,-25,1922-01-01
NHem,-18,1923-01-01
NHem,-15,1924-01-01
NHem,-7,1925-01-01
NHem,4,1926-01-01
NHem,-10,1927-01-01
NHem,-7,1928-01-01
NHem,-30,1929-01-01
NHem,2,1930-01-01
NHem,5,1931-01-01
NHem,-3,1932-01-01
NHem,-24,1933-01-01
NHem,1,1934-01-01
NHem,-8,1935-01-01
NHem,-3,1936-01-01
NHem,13,1937-01-01
NHem,14,1938-01-01
NHem,7,1939-01-01
NHem,14,1940-01-01
NHem,16,1941-01-01
NHem,14,1942-01-01
NHem,21,1943-01-01
NHem,28,1944-01-01
NHem,9,1945-01-01
NHem,7,1946-01-01
NHem,5,1947-01-01
NHem,0,1948-01-01
NHem,-2,1949-01-01
NHem,-16,1950-01-01
NHem,5,1951-01-01
NHem,5,1952-01-01
NHem,22,1953-01-01
NHem,-4,1954-01-01
NHem,-9,1955-01-01
NHem,-25,1956-01-01
NHem,4,1957-01-01
NHem,16,1958-01-01
NHem,11,1959-01-01
NHem,8,1960-01-01
NHem,8,1961-01-01
NHem,14,1962-01-01
NHem,15,1963-01-01
NHem,-20,1964-01-01
NHem,-13,1965-01-01
NHem,0,1966-01-01
NHem,3,1967-01-01
NHem,-5,1968-01-01
NHem,-2,1969-01-01
NHem,-3,1970-01-01
NHem,-15,1971-01-01
NHem,-18,1972-01-01
NHem,10,1973-01-01
NHem,-19,1974-01-01
NHem,-5,1975-01-01
NHem,-21,1976-01-01
NHem,12,1977-01-01
NHem,2,1978-01-01
NHem,8,1979-01-01
NHem,16,1980-01-01
NHem,39,1981-01-01
NHem,6,1982-01-01
NHem,26,1983-01-01
NHem,5,1984-01-01
NHem,0,1985-01-01
NHem,14,1986-01-01
NHem,27,1987-01-01
NHem,37,1988-01-01
NHem,29,1989-01-01
NHem,51,1990-01-01
NHem,41,1991-01-01
NHem,12,1992-01-01
NHem,20,1993-01-01
NHem,36,1994-01-01
NHem,58,1995-01-01
NHem,28,1996-01-01
NHem,53,1997-01-01
NHem,73,1998-01-01
NHem,52,1999-01-01
NHem,51,2000-01-01
NHem,64,2001-01-01
NHem,71,2002-01-01
NHem,72,2003-01-01
NHem,67,2004-01-01
NHem,84,2005-01-01
NHem,80,2006-01-01
NHem,83,2007-01-01
NHem,66,2008-01-01
NHem,71,2009-01-01
NHem,88,2010-01-01
NHem,71,2011-01-01
NHem,77,2012-01-01
NHem,76,2013-01-01
NHem,91,2014-01-01
SHem,-13,1900-01-01
SHem,-19,1901-01-01
SHem,-23,1902-01-01
SHem,-35,1903-01-01
SHem,-42,1904-01-01
SHem,-26,1905-01-01
SHem,-23,1906-01-01
SHem,-31,1907-01-01
SHem,-39,1908-01-01
SHem,-46,1909-01-01
SHem,-41,1910-01-01
SHem,-47,1911-01-01
SHem,-22,1912-01-01
SHem,-25,1913-01-01
SHem,-13,1914-01-01
SHem,-11,1915-01-01
SHem,-30,1916-01-01
SHem,-26,1917-01-01
SHem,-17,1918-01-01
SHem,-10,1919-01-01
SHem,-24,1920-01-01
SHem,-31,1921-01-01
SHem,-27,1922-01-01
SHem,-27,1923-01-01
SHem,-38,1924-01-01
SHem,-30,1925-01-01
SHem,-21,1926-01-01
SHem,-29,1927-01-01
SHem,-33,1928-01-01
SHem,-40,1929-01-01
SHem,-29,1930-01-01
SHem,-23,1931-01-01
SHem,-30,1932-01-01
SHem,-31,1933-01-01
SHem,-27,1934-01-01
SHem,-29,1935-01-01
SHem,-26,1936-01-01
SHem,-16,1937-01-01
SHem,-18,1938-01-01
SHem,-13,1939-01-01
SHem,3,1940-01-01
SHem,10,1941-01-01
SHem,6,1942-01-01
SHem,7,1943-01-01
SHem,24,1944-01-01
SHem,16,1945-01-01
SHem,-12,1946-01-01
SHem,-12,1947-01-01
SHem,-18,1948-01-01
SHem,-16,1949-01-01
SHem,-19,1950-01-01
SHem,-18,1951-01-01
SHem,-3,1952-01-01
SHem,-6,1953-01-01
SHem,-20,1954-01-01
SHem,-19,1955-01-01
SHem,-14,1956-01-01
SHem,3,1957-01-01
SHem,-5,1958-01-01
SHem,-4,1959-01-01
SHem,-13,1960-01-01
SHem,3,1961-01-01
SHem,-9,1962-01-01
SHem,-3,1963-01-01
SHem,-21,1964-01-01
SHem,-7,1965-01-01
SHem,-10,1966-01-01
SHem,-8,1967-01-01
SHem,-9,1968-01-01
SHem,14,1969-01-01
SHem,9,1970-01-01
SHem,-3,1971-01-01
SHem,20,1972-01-01
SHem,20,1973-01-01
SHem,4,1974-01-01
SHem,2,1975-01-01
SHem,-2,1976-01-01
SHem,24,1977-01-01
SHem,12,1978-01-01
SHem,26,1979-01-01
SHem,39,1980-01-01
SHem,27,1981-01-01
SHem,21,1982-01-01
SHem,35,1983-01-01
SHem,27,1984-01-01
SHem,25,1985-01-01
SHem,25,1986-01-01
SHem,41,1987-01-01
SHem,43,1988-01-01
SHem,29,1989-01-01
SHem,36,1990-01-01
SHem,44,1991-01-01
SHem,33,1992-01-01
SHem,29,1993-01-01
SHem,27,1994-01-01
SHem,34,1995-01-01
SHem,42,1996-01-01
SHem,42,1997-01-01
SHem,54,1998-01-01
SHem,32,1999-01-01
SHem,33,2000-01-01
SHem,46,2001-01-01
SHem,56,2002-01-01
SHem,52,2003-01-01
SHem,42,2004-01-01
SHem,55,2005-01-01
SHem,47,2006-01-01
SHem,49,2007-01-01
SHem,42,2008-01-01
SHem,59,2009-01-01
SHem,55,2010-01-01
SHem,50,2011-01-01
SHem,50,2012-01-01
SHem,56,2013-01-01
SHem,58,2014-01-01
